Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,111
design__inferred_latch__count,0
design__instance__count,67746
design__instance__area,374358
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,1953
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,2847
design__max_cap_violation__count__corner:nom_tt_025C_1v80,217
power__internal__total,0.014757842756807804
power__switching__total,0.02500862255692482
power__leakage__total,3.4313367791583005E-7
power__total,0.03976680710911751
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.5086855525230429
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.4899493172072694
timing__hold__ws__corner:nom_tt_025C_1v80,0.3059637074744324
timing__setup__ws__corner:nom_tt_025C_1v80,10.406602096833877
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.305964
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,23.154444
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,5918
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,2847
design__max_cap_violation__count__corner:nom_ss_100C_1v60,229
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.7187148857264062
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.6726446257043949
timing__hold__ws__corner:nom_ss_100C_1v60,0.8417577984010346
timing__setup__ws__corner:nom_ss_100C_1v60,-8.927063785312171
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-26.06317369028929
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-8.927063785312171
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.841758
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,3
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,8.264894
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,1069
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,2847
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,215
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.43757618211832555
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.42734747505856147
timing__hold__ws__corner:nom_ff_n40C_1v95,0.09939160886752918
timing__setup__ws__corner:nom_ff_n40C_1v95,18.128032921222236
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.099392
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,29.182528
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,6937
design__max_fanout_violation__count,2847
design__max_cap_violation__count,268
clock__skew__worst_hold,-0.4135617243496008
clock__skew__worst_setup,0.4169585628118131
timing__hold__ws,0.07898537603088374
timing__setup__ws,-10.800040278892473
timing__hold__tns,0.0
timing__setup__tns,-31.67967311480517
timing__hold__wns,0
timing__setup__wns,-10.800040278892473
timing__hold_vio__count,0
timing__hold_r2r__ws,0.078985
timing__hold_r2r_vio__count,0
timing__setup_vio__count,9
timing__setup_r2r__ws,6.684076
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 900.0 800.0
design__core__bbox,5.52 10.88 894.24 788.8
design__io,107
design__die__area,720000
design__core__area,691353
design__instance__count__stdcell,67746
design__instance__area__stdcell,374358
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.541486
design__instance__utilization__stdcell,0.541486
design__instance__count__class:buffer,6
design__instance__count__class:inverter,3465
design__instance__count__class:sequential_cell,3355
design__instance__count__class:multi_input_combinational_cell,17338
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,40100
design__instance__count__class:tap_cell,9792
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
floorplan__design__io,105
design__io__hpwl,5602257
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,1.27652E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,4039
design__instance__count__class:clock_buffer,412
design__instance__count__class:clock_inverter,275
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1260
antenna__violating__nets,7
antenna__violating__pins,7
route__antenna_violation__count,7
design__instance__count__class:antenna_cell,29064
antenna_diodes_count,43
route__net,28606
route__net__special,2
route__drc_errors__iter:1,40315
route__wirelength__iter:1,1877828
route__drc_errors__iter:2,24688
route__wirelength__iter:2,1860931
route__drc_errors__iter:3,22874
route__wirelength__iter:3,1856362
route__drc_errors__iter:4,6543
route__wirelength__iter:4,1853427
route__drc_errors__iter:5,2226
route__wirelength__iter:5,1853304
route__drc_errors__iter:6,1033
route__wirelength__iter:6,1853182
route__drc_errors__iter:7,741
route__wirelength__iter:7,1853119
route__drc_errors__iter:8,619
route__wirelength__iter:8,1853079
route__drc_errors__iter:9,571
route__wirelength__iter:9,1853011
route__drc_errors__iter:10,429
route__wirelength__iter:10,1852907
route__drc_errors__iter:11,132
route__wirelength__iter:11,1852989
route__drc_errors__iter:12,45
route__wirelength__iter:12,1852983
route__drc_errors__iter:13,21
route__wirelength__iter:13,1853015
route__drc_errors__iter:14,4
route__wirelength__iter:14,1853046
route__drc_errors__iter:15,2
route__wirelength__iter:15,1853052
route__drc_errors__iter:16,1
route__wirelength__iter:16,1853057
route__drc_errors__iter:17,1
route__wirelength__iter:17,1853057
route__drc_errors__iter:18,1
route__wirelength__iter:18,1853057
route__drc_errors__iter:19,1
route__wirelength__iter:19,1853054
route__drc_errors__iter:20,1
route__wirelength__iter:20,1853053
route__drc_errors__iter:21,1
route__wirelength__iter:21,1853053
route__drc_errors__iter:22,1
route__wirelength__iter:22,1853053
route__drc_errors__iter:23,1
route__wirelength__iter:23,1853053
route__drc_errors__iter:24,1
route__wirelength__iter:24,1853053
route__drc_errors__iter:25,1
route__wirelength__iter:25,1853054
