Metric,Value
design__instance__count,122601
design__instance__area,2.8943E+6
design__instance_unmapped__count,0
synthesis__check_error__count,317
design__max_slew_violation__count__corner:nom_tt_025C_1v80,1112
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,621
design__max_cap_violation__count__corner:nom_tt_025C_1v80,47
power__internal__total,63952824.0
power__switching__total,0.007903127931058407
power__leakage__total,0.00013645885337609798
power__total,63952824.0
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-3.0154586348097783
clock__skew__worst_setup__corner:nom_tt_025C_1v80,1.0334982051578965
timing__hold__ws__corner:nom_tt_025C_1v80,1.0306209510859037
timing__setup__ws__corner:nom_tt_025C_1v80,0.9424497005117796
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,1.694330
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,4.668010
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1779
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,621
design__max_cap_violation__count__corner:nom_ss_100C_1v60,128
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-3.837390069876329
clock__skew__worst_setup__corner:nom_ss_100C_1v60,1.7425652525274506
timing__hold__ws__corner:nom_ss_100C_1v60,1.6226345171234697
timing__setup__ws__corner:nom_ss_100C_1v60,-5.682455555828177
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-269.428377012654
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-5.682455555828177
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,2.333264
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,148
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-3.114494
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,116
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,988
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,621
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,21
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-2.657282469278185
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.9338130533143545
timing__hold__ws__corner:nom_ff_n40C_1v95,0.8017391422128011
timing__setup__ws__corner:nom_ff_n40C_1v95,2.569667218410518
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,1.073639
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,7.080981
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,716
design__max_fanout_violation__count__corner:min_tt_025C_1v80,621
design__max_cap_violation__count__corner:min_tt_025C_1v80,37
clock__skew__worst_hold__corner:min_tt_025C_1v80,-2.9599163957629893
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.9841518989421684
timing__hold__ws__corner:min_tt_025C_1v80,1.0784875520125623
timing__setup__ws__corner:min_tt_025C_1v80,1.488899712330104
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,1.675356
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,5.117531
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,1303
design__max_fanout_violation__count__corner:min_ss_100C_1v60,621
design__max_cap_violation__count__corner:min_ss_100C_1v60,109
clock__skew__worst_hold__corner:min_ss_100C_1v60,-3.750179384290277
clock__skew__worst_setup__corner:min_ss_100C_1v60,1.662794837773652
timing__hold__ws__corner:min_ss_100C_1v60,1.690278187480925
timing__setup__ws__corner:min_ss_100C_1v60,-4.360625761682406
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,-156.28851188921217
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,-4.360625761682406
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,2.243898
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,107
timing__setup_r2r__ws__corner:min_ss_100C_1v60,-2.366758
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,75
design__max_slew_violation__count__corner:min_ff_n40C_1v95,597
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,621
design__max_cap_violation__count__corner:min_ff_n40C_1v95,19
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-2.6237999182653784
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.8566392282439858
timing__hold__ws__corner:min_ff_n40C_1v95,0.8494232224690494
timing__setup__ws__corner:min_ff_n40C_1v95,3.1456207418088575
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,1.058345
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
